rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Lowest_Niyama
2842.8,3000.0,96.0,113.3,927.0,996.01,626.0,389000.0,1408.0,10.0,13.0,0.002328326596192711
2760.0,3090.0,96.0,113.3,927.0,996.01,626.0,389000.0,1408.0,10.0,13.0,0.0015470941317761873
2842.8,3090.0,96.0,113.3,927.0,996.01,626.0,389000.0,880.0,13.0,11.0,0.0004680574111130083
2760.0,3000.0,98.88,113.3,927.0,996.01,626.0,389000.0,1408.0,10.0,11.0,0.0005782711418895799
2842.8,3000.0,98.88,113.3,927.0,996.01,626.0,389000.0,880.0,13.0,13.0,0.8320281268139744
2760.0,3090.0,98.88,113.3,927.0,996.01,626.0,389000.0,880.0,13.0,13.0,0.603591361703147
2842.8,3090.0,98.88,113.3,927.0,996.01,626.0,389000.0,1408.0,10.0,11.0,0.0005926922121599535
2760.0,3000.0,96.0,110.0,954.8100000000001,996.01,626.0,389000.0,1408.0,10.0,11.0,0.00011926017491032764
2842.8,3000.0,96.0,110.0,954.8100000000001,996.01,626.0,389000.0,880.0,13.0,13.0,0.8529195125383365
2760.0,3090.0,96.0,110.0,954.8100000000001,996.01,626.0,389000.0,880.0,13.0,13.0,0.6041953081828422
2842.8,3090.0,96.0,110.0,954.8100000000001,996.01,626.0,389000.0,1408.0,10.0,11.0,0.00012223431109589114
2760.0,3000.0,98.88,110.0,954.8100000000001,996.01,626.0,389000.0,880.0,13.0,11.0,0.0011402842619398562
2842.8,3000.0,98.88,110.0,954.8100000000001,996.01,626.0,389000.0,1408.0,10.0,13.0,0.0005219026983463209
2760.0,3090.0,98.88,110.0,954.8100000000001,996.01,626.0,389000.0,1408.0,10.0,13.0,0.0006521508205537107
2842.8,3090.0,98.88,110.0,954.8100000000001,996.01,626.0,389000.0,880.0,13.0,11.0,0.0011687209189195557
2760.0,3000.0,96.0,113.3,954.8100000000001,996.01,626.0,389000.0,880.0,10.0,13.0,0.0007421032935819455
2842.8,3000.0,96.0,113.3,954.8100000000001,996.01,626.0,389000.0,1408.0,13.0,11.0,0.0001577741619259758
2760.0,3090.0,96.0,113.3,954.8100000000001,996.01,626.0,389000.0,1408.0,13.0,11.0,0.0009522003782692342
2842.8,3090.0,96.0,113.3,954.8100000000001,996.01,626.0,389000.0,880.0,10.0,13.0,0.000760610026953144
2760.0,3000.0,98.88,113.3,954.8100000000001,996.01,626.0,389000.0,1408.0,13.0,13.0,0.6639012393285082
2842.8,3000.0,98.88,113.3,954.8100000000001,996.01,626.0,389000.0,880.0,10.0,11.0,0.00028382687446997326
2760.0,3090.0,98.88,113.3,954.8100000000001,996.01,626.0,389000.0,880.0,10.0,11.0,0.0006171678983384951
2842.8,3090.0,98.88,113.3,954.8100000000001,996.01,626.0,389000.0,1408.0,13.0,13.0,0.6804577528587965
2760.0,3000.0,96.0,110.0,927.0,967.0,313.0,400670.0,1408.0,13.0,13.0,0.8005137818325686
2842.8,3000.0,96.0,110.0,927.0,967.0,313.0,400670.0,880.0,10.0,11.0,0.0013996872916455922
2760.0,3090.0,96.0,110.0,927.0,967.0,313.0,400670.0,880.0,10.0,11.0,0.0010584610109551265
2842.8,3090.0,96.0,110.0,927.0,967.0,313.0,400670.0,1408.0,13.0,13.0,0.8204771686662766
2760.0,3000.0,98.88,110.0,927.0,967.0,313.0,400670.0,880.0,10.0,13.0,0.0019498931304261057
2842.8,3000.0,98.88,110.0,927.0,967.0,313.0,400670.0,1408.0,13.0,11.0,0.4947124360857497
2760.0,3090.0,98.88,110.0,927.0,967.0,313.0,400670.0,1408.0,13.0,11.0,0.2990800097451089
2842.8,3090.0,98.88,110.0,927.0,967.0,313.0,400670.0,880.0,10.0,13.0,0.0019985199836635996
2760.0,3000.0,96.0,113.3,927.0,967.0,313.0,400670.0,880.0,13.0,11.0,0.38261679675220217
